locus_tag	ftype	length_bp	gene	EC_number	COG	product
AMANMOLG_00032	CDS	4542	srmB	3.6.4.13		ATP-dependent RNA helicase SrmB
AMANMOLG_00033	CDS	666				hypothetical protein
AMANMOLG_00034	CDS	810			COG1373	putative protein
AMANMOLG_00035	CDS	1485	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)]
AMANMOLG_00036	CDS	1248			COG5383	putative protein
AMANMOLG_00037	CDS	453				hypothetical protein
AMANMOLG_00038	CDS	1269	lat	2.6.1.36	COG0160	putative L-lysine-epsilon aminotransferase
AMANMOLG_00039	CDS	378				hypothetical protein
AMANMOLG_00040	CDS	312				hypothetical protein
AMANMOLG_00041	CDS	438	rsbW		COG2172	Anti-sigma-F factor RsbW
AMANMOLG_00042	CDS	723	sigF		COG1191	RNA polymerase sigma factor SigF
AMANMOLG_00043	CDS	1803	carB_1			Carbamoyl-phosphate synthase large chain
AMANMOLG_00044	CDS	432			COG2166	putative SufE-like protein
AMANMOLG_00045	CDS	966	sseA	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase SseA
AMANMOLG_00046	CDS	669		3.6.1.9	COG0424	Nucleoside triphosphate pyrophosphatase
AMANMOLG_00047	CDS	429				hypothetical protein
AMANMOLG_00048	CDS	1674	accD5_1	6.4.1.3	COG4799	putative propionyl-CoA carboxylase beta chain 5
AMANMOLG_00049	CDS	801	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
AMANMOLG_00050	CDS	519				hypothetical protein
AMANMOLG_00051	CDS	819				hypothetical protein
AMANMOLG_00052	CDS	1227	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
AMANMOLG_00053	CDS	525	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
AMANMOLG_00054	CDS	1170		1.3.99.-	COG1960	putative acyl-CoA dehydrogenase fadE25
AMANMOLG_00055	CDS	2271				hypothetical protein
AMANMOLG_00056	CDS	1185		2.8.3.-	COG1804	putative fatty acyl-CoA transferase
AMANMOLG_00057	CDS	669				hypothetical protein
AMANMOLG_00058	CDS	2157	ctpC	3.6.3.-	COG2217	Manganese-exporting P-type ATPase
AMANMOLG_00059	CDS	282				putative protein
AMANMOLG_00060	CDS	741				hypothetical protein
AMANMOLG_00061	CDS	1494	lcpA_1		COG1316	Cell wall biosynthesis protein LcpA
AMANMOLG_00062	CDS	915	rmlD	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
AMANMOLG_00063	CDS	924	wbbL	2.4.1.289	COG1216	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
AMANMOLG_00064	CDS	1056	cugP	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
AMANMOLG_00065	CDS	1590		2.1.1.72		Modification methylase Eco57IB
AMANMOLG_00066	CDS	114				hypothetical protein
AMANMOLG_00067	CDS	1347	fbiB		COG0778	Bifunctional F420 biosynthesis protein FbiB
AMANMOLG_00068	CDS	996	fbiA	2.7.8.28	COG0391	Phosphoenolpyruvate transferase
AMANMOLG_00069	CDS	372	whiB			Transcriptional regulator WhiB
AMANMOLG_00070	CDS	420				hypothetical protein
AMANMOLG_00071	CDS	492				hypothetical protein
AMANMOLG_00072	CDS	1398	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
AMANMOLG_00073	CDS	1041				hypothetical protein
AMANMOLG_00074	CDS	1227	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase
AMANMOLG_00075	CDS	1389				putative protein
AMANMOLG_00076	CDS	1488	yhdG_1		COG0531	putative amino acid permease YhdG
AMANMOLG_00077	CDS	1251	alkB	1.14.15.3		Alkane 1-monooxygenase
AMANMOLG_00078	CDS	171	alkG			Rubredoxin-2
AMANMOLG_00079	CDS	183	rubA		COG1773	Rubredoxin
AMANMOLG_00080	CDS	636				hypothetical protein
AMANMOLG_00081	CDS	1488	ahcY	3.3.1.1	COG0499	Adenosylhomocysteinase
AMANMOLG_00082	CDS	645	tmk	2.7.4.9	COG0125	Thymidylate kinase
AMANMOLG_00083	CDS	687	mtrA		COG0745	DNA-binding response regulator MtrA
AMANMOLG_00084	CDS	1704	mtrB	2.7.13.3		Sensor histidine kinase MtrB
AMANMOLG_00085	CDS	1752	lpqB			Lipoprotein LpqB
AMANMOLG_00086	CDS	843				hypothetical protein
AMANMOLG_00087	CDS	726				hypothetical protein
AMANMOLG_00088	CDS	660	hpf		COG1544	Ribosome hibernation promotion factor
AMANMOLG_00089	CDS	2898	secA1		COG0653	Protein translocase subunit SecA 1
AMANMOLG_00090	CDS	3207	mdtD_1			Putative multidrug resistance protein MdtD
AMANMOLG_00091	CDS	735	mddA	2.1.1.334	COG2020	Methanethiol S-methyltransferase
AMANMOLG_00092	CDS	483	amhM		COG0490	Ammonium/H(+) antiporter subunit AmhM
AMANMOLG_00093	CDS	1158	khtU		COG0475	K(+)/H(+) antiporter subunit KhtU
AMANMOLG_00094	CDS	552				hypothetical protein
AMANMOLG_00095	CDS	816	tgs3	2.3.1.20		putative diacyglycerol O-acyltransferase tgs3
AMANMOLG_00096	CDS	603		2.3.1.20		Putative diacyglycerol O-acyltransferase
AMANMOLG_00097	CDS	867	ppk2	2.7.4.-	COG2326	Polyphosphate:GDP phosphotransferase
AMANMOLG_00098	CDS	510				hypothetical protein
AMANMOLG_00099	CDS	1143		1.-.-.-	COG1018	NADPH oxidoreductase
AMANMOLG_00100	CDS	1284	desA3	1.14.19.-	COG3239	NADPH-dependent stearoyl-CoA 9-desaturase
AMANMOLG_00101	CDS	993	rsgA	3.6.1.-		Small ribosomal subunit biogenesis GTPase RsgA
AMANMOLG_00102	CDS	1353	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
AMANMOLG_00103	CDS	759	yedK	3.4.-.-	COG2135	SOS response-associated protein YedK
AMANMOLG_00104	CDS	1425				hypothetical protein
AMANMOLG_00105	CDS	228				hypothetical protein
AMANMOLG_00106	CDS	849				hypothetical protein
AMANMOLG_00107	CDS	768	sigH		COG1595	ECF RNA polymerase sigma factor SigH
AMANMOLG_00108	CDS	552				hypothetical protein
AMANMOLG_00109	CDS	306	rshA			Anti-sigma factor RshA
AMANMOLG_00110	CDS	240			COG0511	Biotinylated protein TB7.3
AMANMOLG_00111	CDS	1506	pdtaS	2.7.13.3	COG3920	putative sensor histidine kinase pdtaS
AMANMOLG_00112	CDS	255	whiB1			Transcriptional regulator WhiB1
AMANMOLG_00113	CDS	966	yegS	2.7.1.-		lipid kinase YegS
AMANMOLG_00114	CDS	102				hypothetical protein
AMANMOLG_00115	CDS	408				hypothetical protein
AMANMOLG_00116	CDS	291				hypothetical protein
AMANMOLG_00117	CDS	1107	menF_1	5.4.4.2	COG1169	Putative isochorismate synthase MenF
AMANMOLG_00118	CDS	612	gpm2	3.1.3.2	COG0406	Acid phosphatase
AMANMOLG_00119	CDS	801			COG1192	putative protein
AMANMOLG_00120	CDS	1224				hypothetical protein
AMANMOLG_00121	CDS	1584	deaD_1	3.6.4.13		ATP-dependent RNA helicase DeaD
AMANMOLG_00122	CDS	696				hypothetical protein
AMANMOLG_00123	CDS	294	mmpS3_1			putative transport accessory protein MmpS3
AMANMOLG_00124	CDS	363				hypothetical protein
AMANMOLG_00125	CDS	288				hypothetical protein
AMANMOLG_00126	CDS	687	betI_1			HTH-type transcriptional regulator BetI
AMANMOLG_00127	CDS	987				hypothetical protein
AMANMOLG_00128	CDS	1179	moeZ_1		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
AMANMOLG_00129	CDS	879				hypothetical protein
AMANMOLG_00130	CDS	306	atl		COG3695	DNA base-flipping protein
AMANMOLG_00131	CDS	786	lipV	3.1.1.1		Lipase LipV
AMANMOLG_00132	CDS	210				putative proteinA
AMANMOLG_00133	CDS	3168	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
AMANMOLG_00134	CDS	3306	rep_2	3.6.4.12		ATP-dependent DNA helicase Rep
AMANMOLG_00135	CDS	1068	kefC			Glutathione-regulated potassium-efflux system protein KefC
AMANMOLG_00136	CDS	942	nudC	3.6.1.22		NADH pyrophosphatase
AMANMOLG_00137	CDS	255		1.-.-.-	COG0695	Putative glutaredoxin.1
AMANMOLG_00138	CDS	2112	uvrD2	3.6.4.12	COG0210	ATP-dependent DNA helicase UvrD2
AMANMOLG_00139	CDS	123				hypothetical protein
AMANMOLG_00140	CDS	291	whiB7			putative transcriptional regulator WhiB7
AMANMOLG_00141	CDS	1344	ubiB	2.7.-.-		protein kinase UbiB
AMANMOLG_00142	CDS	174				hypothetical protein
AMANMOLG_00143	CDS	825				hypothetical protein
AMANMOLG_00144	CDS	1401				hypothetical protein
AMANMOLG_00145	CDS	999	ylbL		COG3480	putative protein YlbL
AMANMOLG_00146	CDS	2979				hypothetical protein
AMANMOLG_00147	CDS	156				hypothetical protein
AMANMOLG_00148	CDS	465				hypothetical protein
AMANMOLG_00149	tRNA	77				tRNA-Met(cat)
AMANMOLG_00150	CDS	1185				hypothetical protein
AMANMOLG_00151	CDS	186				hypothetical protein
AMANMOLG_00152	CDS	210				hypothetical protein
AMANMOLG_00153	CDS	1266				hypothetical protein
AMANMOLG_00154	CDS	621				hypothetical protein
AMANMOLG_00155	CDS	348				putative protein
AMANMOLG_00156	CDS	324	higA2_1			Putative antitoxin HigA2
AMANMOLG_00157	CDS	339	higB2_1		COG4683	Putative toxin HigB2
AMANMOLG_00158	CDS	249			COG4118	Putative antitoxin VapB49
AMANMOLG_00159	CDS	435		3.1.-.-		Ribonuclease VapC49
AMANMOLG_00160	CDS	1290			COG1373	putative protein
AMANMOLG_00161	CDS	294				hypothetical protein
AMANMOLG_00162	CDS	360	ddn_1	1.-.-.-		Deazaflavin-dependent nitroreductase
AMANMOLG_00163	CDS	861	bpoC_1	1.11.1.18	COG0596	Putative non-heme bromoperoxidase BpoC
AMANMOLG_00164	CDS	957	dhaA_1	3.8.1.5		Haloalkane dehalogenase
AMANMOLG_00165	CDS	1488	aam	3.5.1.13	COG0154	Acylamidase
AMANMOLG_00166	CDS	708		1.-.-.-		putative oxidoreductase
AMANMOLG_00167	CDS	603				hypothetical protein
AMANMOLG_00168	CDS	483				hypothetical protein
AMANMOLG_00169	CDS	972	rutD_1	3.5.1.-		Putative aminoacrylate hydrolase RutD
AMANMOLG_00170	CDS	1365	aofH	1.4.3.-	COG1231	Putative flavin-containing monoamine oxidase AofH
AMANMOLG_00171	CDS	1125				hypothetical protein
AMANMOLG_00172	CDS	1137		2.7.1.-	COG3173	Putative aminoglycoside phosphotransferase
AMANMOLG_00173	CDS	627				hypothetical protein
AMANMOLG_00174	CDS	960				hypothetical protein
AMANMOLG_00175	CDS	483				hypothetical protein
AMANMOLG_00176	CDS	963	ravA	3.6.3.-		ATPase RavA
AMANMOLG_00177	CDS	1272				hypothetical protein
AMANMOLG_00178	CDS	438				hypothetical protein
AMANMOLG_00179	CDS	1158	yeaW	1.14.13.239	COG4638	Carnitine monooxygenase oxygenase subunit
AMANMOLG_00180	CDS	642				hypothetical protein
AMANMOLG_00181	CDS	1917				putative PPE family protein PPE40
AMANMOLG_00182	CDS	1596	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
AMANMOLG_00183	CDS	1665	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
AMANMOLG_00184	CDS	1902	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
AMANMOLG_00185	CDS	300		7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit 11
AMANMOLG_00186	CDS	789				hypothetical protein
AMANMOLG_00187	CDS	636	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
AMANMOLG_00188	CDS	1233	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
AMANMOLG_00189	CDS	2421	nuoG	7.1.1.-	COG1034	NADH-quinone oxidoreductase subunit G
AMANMOLG_00190	CDS	1338	nuoF	7.1.1.-	COG1894	NADH-quinone oxidoreductase subunit F
AMANMOLG_00191	CDS	759	nuoE	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit E
AMANMOLG_00192	CDS	1323	nuoD	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit D
AMANMOLG_00193	CDS	711	nuoC	7.1.1.-	COG0852	NADH-quinone oxidoreductase subunit C
AMANMOLG_00194	CDS	555	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
AMANMOLG_00195	CDS	492	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic
AMANMOLG_00196	CDS	1230				hypothetical protein
AMANMOLG_00197	CDS	402			COG0784	putative response regulatory protein
AMANMOLG_00198	CDS	429				hypothetical protein
AMANMOLG_00199	CDS	972	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
AMANMOLG_00200	CDS	1206	caiA_1	1.3.8.13		Crotonobetainyl-CoA reductase
AMANMOLG_00201	CDS	1407	caiA_2	1.3.8.13		Crotonobetainyl-CoA reductase
AMANMOLG_00202	CDS	1089				hypothetical protein
AMANMOLG_00203	CDS	783	hisN	3.1.3.15	COG0483	Histidinol-phosphatase
AMANMOLG_00204	CDS	315				hypothetical protein
AMANMOLG_00205	CDS	1143				putative PPE family protein PPE51
AMANMOLG_00206	CDS	399				putative PPE family protein PPE50
AMANMOLG_00207	CDS	807				Universal stress protein
AMANMOLG_00208	CDS	654	devR		COG2197	DNA-binding transcriptional activator DevR/DosR
AMANMOLG_00209	CDS	1737	devS	2.7.13.3	COG2203	Oxygen sensor histidine kinase response regulator DevS/DosS
AMANMOLG_00210	CDS	999				Putative NAD(P)H nitroreductase
AMANMOLG_00211	CDS	1392	tgs1	2.3.1.20		putative diacyglycerol O-acyltransferase tgs1
AMANMOLG_00212	CDS	315				putative protein
AMANMOLG_00213	CDS	534				ISNCY family transposase ISBli16
AMANMOLG_00214	CDS	351				ISNCY family transposase ISBli16
AMANMOLG_00215	CDS	1035				putative protein
AMANMOLG_00216	CDS	1176				putative PPE family protein PPE38
AMANMOLG_00217	CDS	894	moaR1		COG3629	Transcriptional regulatory protein MoaR1
AMANMOLG_00218	CDS	270				hypothetical protein
AMANMOLG_00219	CDS	471				hypothetical protein
AMANMOLG_00220	CDS	177				hypothetical protein
AMANMOLG_00221	CDS	1203		1.14.-.-		Putative cytochrome P450 141
AMANMOLG_00222	CDS	603				hypothetical protein
AMANMOLG_00223	CDS	444	moaE1	2.8.1.12	COG0314	Molybdopterin synthase catalytic subunit 1
AMANMOLG_00224	CDS	441	PPE2		COG5651	putative PPE family protein PPE2
AMANMOLG_00225	CDS	1485	cobQ		COG1492	Cobyric acid synthase
AMANMOLG_00226	CDS	525	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
AMANMOLG_00227	CDS	357	nirD	1.7.1.15	COG2146	Nitrite reductase (NADH) small subunit
AMANMOLG_00228	CDS	2511	nasD	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
AMANMOLG_00229	CDS	480				hypothetical protein
AMANMOLG_00230	CDS	294				putative protein
AMANMOLG_00231	CDS	822				hypothetical protein
AMANMOLG_00232	CDS	1941	sdhA_2	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
AMANMOLG_00233	CDS	747	frdB_1	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
AMANMOLG_00234	CDS	1311				hypothetical protein
AMANMOLG_00235	CDS	489		1.5.1.37		Flavin reductase
AMANMOLG_00236	CDS	1836		1.3.8.1	COG1960	Butyryl-CoA dehydrogenase
AMANMOLG_00237	CDS	1323	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
AMANMOLG_00238	CDS	1365	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
AMANMOLG_00239	CDS	819				hypothetical protein
AMANMOLG_00240	CDS	438		3.1.-.-	COG1848	Ribonuclease VapC24
AMANMOLG_00241	CDS	234				hypothetical protein
AMANMOLG_00242	CDS	567				hypothetical protein
AMANMOLG_00243	CDS	1167	lpqI	3.2.1.52	COG1472	Beta-hexosaminidase LpqI
AMANMOLG_00244	CDS	174				Putative secreted protein.1
AMANMOLG_00245	CDS	4203	aftD	2.4.2.47		Alpha-(1->3)-arabinofuranosyltransferase
AMANMOLG_00246	CDS	1449				hypothetical protein
AMANMOLG_00247	CDS	1374	gabD1	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] 1
AMANMOLG_00248	CDS	945	nrdB	1.-.-.-	COG0208	R2-like ligand binding oxidase
AMANMOLG_00249	CDS	690				hypothetical protein
AMANMOLG_00250	CDS	1707				hypothetical protein
AMANMOLG_00251	CDS	981	php		COG1735	Phosphotriesterase homology protein
AMANMOLG_00252	CDS	195				Putative antitoxin VapB51
AMANMOLG_00253	CDS	414		3.1.-.-	COG1487	Ribonuclease VapC51
AMANMOLG_00254	CDS	1299				hypothetical protein
AMANMOLG_00255	CDS	1281	porA			Porin PorA
AMANMOLG_00256	CDS	1731				hypothetical protein
AMANMOLG_00257	CDS	1155	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
AMANMOLG_00258	CDS	765		2.1.1.-		putative methyltransferase
AMANMOLG_00259	CDS	1464	geoB	1.2.1.86		Geranial dehydrogenase
AMANMOLG_00260	CDS	789	caiD_1	4.2.1.149		Carnitinyl-CoA dehydratase
AMANMOLG_00261	CDS	1410		2.3.1.20		Putative diacyglycerol O-acyltransferase
AMANMOLG_00262	CDS	1212				hypothetical protein
AMANMOLG_00263	CDS	549				hypothetical protein
AMANMOLG_00264	CDS	1329				hypothetical protein
AMANMOLG_00265	CDS	909	aes_1	3.1.1.-		Acetyl esterase
AMANMOLG_00266	CDS	1014	mch	4.2.1.148	COG2030	Beta-methylmalyl-CoA dehydratase
AMANMOLG_00267	CDS	1074	mcd	1.3.8.12	COG1960	(2S)-methylsuccinyl-CoA dehydrogenase
AMANMOLG_00268	CDS	1518		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
AMANMOLG_00269	CDS	1317				hypothetical protein
AMANMOLG_00270	CDS	972	nadR		COG1056	Trifunctional NAD biosynthesis/regulator protein NadR
AMANMOLG_00271	CDS	1821	pckG	4.1.1.32	COG1274	Phosphoenolpyruvate carboxykinase [GTP]
AMANMOLG_00272	CDS	1479				hypothetical protein
AMANMOLG_00273	CDS	1086				hypothetical protein
AMANMOLG_00274	CDS	594	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
AMANMOLG_00275	CDS	735				hypothetical protein
AMANMOLG_00276	CDS	2835	mmpL3_1		COG2409	Trehalose monomycolate exporter MmpL3
AMANMOLG_00277	CDS	1104			COG0628	Putative transport protein
AMANMOLG_00278	CDS	1284				hypothetical protein
AMANMOLG_00279	CDS	411				Heme-binding protein
AMANMOLG_00280	CDS	2898			COG2409	Heme uptake protein MmpL11
AMANMOLG_00281	CDS	504				hypothetical protein
AMANMOLG_00282	CDS	690				hypothetical protein
AMANMOLG_00283	CDS	660				hypothetical protein
AMANMOLG_00284	CDS	1992	pepO	3.4.24.-	COG3590	Neutral endopeptidase
AMANMOLG_00285	CDS	2247	napA	1.9.6.1		Periplasmic nitrate reductase
AMANMOLG_00286	CDS	585			COG1309	putative HTH-type transcriptional regulator
AMANMOLG_00287	CDS	768				hypothetical protein
AMANMOLG_00288	CDS	3585		3.6.3.-	COG1132	Multidrug efflux ATP-binding/permease protein
AMANMOLG_00289	CDS	120				hypothetical protein
AMANMOLG_00290	CDS	1848				hypothetical protein
AMANMOLG_00291	CDS	765		2.3.2.-	COG1376	L,D-transpeptidase 4
AMANMOLG_00292	CDS	303				hypothetical protein
AMANMOLG_00293	CDS	1242			COG2814	Chloramphenicol efflux pump
AMANMOLG_00294	CDS	291	ricR		COG1937	Copper-sensing transcriptional repressor RicR
AMANMOLG_00295	CDS	1728	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
AMANMOLG_00296	CDS	432				hypothetical protein
AMANMOLG_00297	CDS	657		2.1.1.6	COG4122	Catechol O-methyltransferase
AMANMOLG_00298	CDS	147	mymT			Metallothionein
AMANMOLG_00299	CDS	2076	bglB	3.2.1.21	COG1472	Thermostable beta-glucosidase B
AMANMOLG_00300	CDS	510				hypothetical protein
AMANMOLG_00301	CDS	750				hypothetical protein
AMANMOLG_00302	CDS	897		3.1.1.23	COG2267	Monoacylglycerol lipase
AMANMOLG_00303	CDS	999	sigG		COG1595	ECF RNA polymerase sigma factor SigG
AMANMOLG_00304	CDS	735		1.13.11.24	COG1741	Putative quercetin 2,3-dioxygenase
AMANMOLG_00305	CDS	1359				hypothetical protein
AMANMOLG_00306	CDS	1110				hypothetical protein
AMANMOLG_00307	CDS	735				hypothetical protein
AMANMOLG_00308	CDS	555				hypothetical protein
AMANMOLG_00309	CDS	969				hypothetical protein
AMANMOLG_00310	CDS	708				hypothetical protein
AMANMOLG_00311	CDS	1548				hypothetical protein
AMANMOLG_00312	CDS	1173	lprN_1			Lipoprotein LprN
AMANMOLG_00313	CDS	1593				hypothetical protein
AMANMOLG_00314	CDS	1548				hypothetical protein
AMANMOLG_00315	CDS	1041				hypothetical protein
AMANMOLG_00316	CDS	1365				hypothetical protein
AMANMOLG_00317	CDS	870				hypothetical protein
AMANMOLG_00318	CDS	798				hypothetical protein
AMANMOLG_00319	CDS	1665		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
AMANMOLG_00320	CDS	795				hypothetical protein
AMANMOLG_00321	CDS	441				hypothetical protein
AMANMOLG_00322	CDS	456				hypothetical protein
AMANMOLG_00323	CDS	1119	adhB_1	1.1.1.1	COG1062	Alcohol dehydrogenase B
AMANMOLG_00324	CDS	1374		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
AMANMOLG_00325	CDS	1509	PE3_1			PE family protein PE3
AMANMOLG_00326	CDS	1407	PE3_2			PE family protein PE3
AMANMOLG_00327	CDS	645	kstR2_1			HTH-type transcriptional repressor KstR2
AMANMOLG_00328	CDS	126				hypothetical protein
AMANMOLG_00329	CDS	1428	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
AMANMOLG_00330	CDS	333				hypothetical protein
AMANMOLG_00331	CDS	1101	pntAA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha part 1
AMANMOLG_00332	CDS	1212	caiA_3	1.3.8.13		Crotonobetainyl-CoA reductase
AMANMOLG_00333	CDS	831				hypothetical protein
AMANMOLG_00334	CDS	225				putative PE-PGRS family protein PE_PGRS24
AMANMOLG_00335	CDS	1473				hypothetical protein
AMANMOLG_00336	CDS	1767				hypothetical protein
AMANMOLG_00337	CDS	288				hypothetical protein
AMANMOLG_00338	CDS	969		1.3.1.103		2-haloacrylate reductase
AMANMOLG_00339	CDS	861		1.1.1.-	COG1028	Putative short-chain type dehydrogenase/reductase
AMANMOLG_00340	CDS	1521	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
AMANMOLG_00341	CDS	933		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
AMANMOLG_00342	CDS	366		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
AMANMOLG_00343	CDS	258		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
AMANMOLG_00344	CDS	843				hypothetical protein
AMANMOLG_00345	CDS	1479	clcB			Voltage-gated ClC-type chloride channel ClcB
AMANMOLG_00346	CDS	927				hypothetical protein
AMANMOLG_00347	CDS	411				hypothetical protein
AMANMOLG_00348	CDS	381				hypothetical protein
AMANMOLG_00349	CDS	1023	auaH	1.1.1.394		Aurachin B dehydrogenase
AMANMOLG_00350	CDS	504				hypothetical protein
AMANMOLG_00351	CDS	549	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
AMANMOLG_00352	CDS	1326		1.14.-.-	COG2124	Putative cytochrome P450 138
AMANMOLG_00353	CDS	606				hypothetical protein
AMANMOLG_00354	CDS	903		3.3.2.10		Soluble epoxide hydrolase
AMANMOLG_00355	CDS	606				hypothetical protein
AMANMOLG_00356	CDS	1083	fgd2	1.1.98.-	COG2141	F420-dependent hydroxymycolic acid dehydrogenase
AMANMOLG_00357	CDS	1344	bbsG	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
AMANMOLG_00358	CDS	456		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
AMANMOLG_00359	CDS	1023	fbpC	2.3.1.122	COG0627	Diacylglycerol acyltransferase/mycolyltransferase Ag85C
AMANMOLG_00360	CDS	780				hypothetical protein
AMANMOLG_00361	CDS	1368	mak	2.7.1.175		Maltokinase
AMANMOLG_00362	CDS	1806	treS	3.2.1.1	COG0366	Trehalose synthase/amylase TreS
AMANMOLG_00363	CDS	1068				hypothetical protein
AMANMOLG_00364	CDS	1056				hypothetical protein
AMANMOLG_00365	CDS	714				hypothetical protein
AMANMOLG_00366	CDS	369				hypothetical protein
AMANMOLG_00367	CDS	183				hypothetical protein
